model,metric,label_code,data,pipe_name,pred_id
rf,user_acc,1.0,0.7038461538461538,none_tomeklinks,manual_ndvi_2
rf,user_acc,2.0,0.45977011494252873,none_tomeklinks,manual_ndvi_2
rf,user_acc,3.0,0.3553719008264463,none_tomeklinks,manual_ndvi_2
rf,user_acc,4.0,0.7430555555555556,none_tomeklinks,manual_ndvi_2
rf,user_acc,6.0,0.2911392405063291,none_tomeklinks,manual_ndvi_2
rf,user_acc,7.0,0.4657534246575342,none_tomeklinks,manual_ndvi_2
rf,user_acc,11.0,0.34883720930232553,none_tomeklinks,manual_ndvi_2
rf,user_acc,12.0,0.3508771929824561,none_tomeklinks,manual_ndvi_2
rf,user_acc,13.0,0.6818181818181819,none_tomeklinks,manual_ndvi_2
rf,user_acc,14.0,0.42307692307692313,none_tomeklinks,manual_ndvi_2
rf,user_acc,16.0,0.25,none_tomeklinks,manual_ndvi_2
rf,user_acc,17.0,0.2592592592592593,none_tomeklinks,manual_ndvi_2
rf,user_acc,20.0,0.9323308270676691,none_tomeklinks,manual_ndvi_2
svm,overall_accuracy,,0.5131578947368421,none_tomeklinks,manual_ndvi_2
svm,balanced_accuracy,,0.606317206076692,none_tomeklinks,manual_ndvi_2
svm,kappa,,0.4553746354530712,none_tomeklinks,manual_ndvi_2
svm,producer_acc,1.0,0.680327868852459,none_tomeklinks,manual_ndvi_2
svm,producer_acc,2.0,0.17021276595744683,none_tomeklinks,manual_ndvi_2
svm,producer_acc,3.0,0.736842105263158,none_tomeklinks,manual_ndvi_2
svm,producer_acc,4.0,0.540983606557377,none_tomeklinks,manual_ndvi_2
svm,producer_acc,6.0,0.3246753246753247,none_tomeklinks,manual_ndvi_2
svm,producer_acc,7.0,0.1123595505617978,none_tomeklinks,manual_ndvi_2
svm,producer_acc,11.0,0.6666666666666667,none_tomeklinks,manual_ndvi_2
svm,producer_acc,12.0,0.8,none_tomeklinks,manual_ndvi_2
svm,producer_acc,13.0,0.9444444444444444,none_tomeklinks,manual_ndvi_2
svm,producer_acc,14.0,0.5208333333333333,none_tomeklinks,manual_ndvi_2
svm,producer_acc,16.0,1.0,none_tomeklinks,manual_ndvi_2
svm,producer_acc,17.0,0.4545454545454546,none_tomeklinks,manual_ndvi_2
svm,producer_acc,20.0,0.9302325581395349,none_tomeklinks,manual_ndvi_2
svm,user_acc,1.0,0.7094017094017093,none_tomeklinks,manual_ndvi_2
svm,user_acc,2.0,0.34782608695652173,none_tomeklinks,manual_ndvi_2
svm,user_acc,3.0,0.33333333333333337,none_tomeklinks,manual_ndvi_2
svm,user_acc,4.0,0.7333333333333334,none_tomeklinks,manual_ndvi_2
svm,user_acc,6.0,0.2906976744186046,none_tomeklinks,manual_ndvi_2
svm,user_acc,7.0,0.4545454545454546,none_tomeklinks,manual_ndvi_2
svm,user_acc,11.0,0.19999999999999996,none_tomeklinks,manual_ndvi_2
svm,user_acc,12.0,0.32258064516129037,none_tomeklinks,manual_ndvi_2
svm,user_acc,13.0,0.6071428571428572,none_tomeklinks,manual_ndvi_2
svm,user_acc,14.0,0.2906976744186046,none_tomeklinks,manual_ndvi_2
svm,user_acc,16.0,0.19999999999999996,none_tomeklinks,manual_ndvi_2
svm,user_acc,17.0,0.1515151515151515,none_tomeklinks,manual_ndvi_2
svm,user_acc,20.0,0.9448818897637795,none_tomeklinks,manual_ndvi_2
rf,overall_accuracy,,0.5263157894736842,none_random,manual_ndvi_2
rf,balanced_accuracy,,0.6111477719750286,none_random,manual_ndvi_2
rf,kappa,,0.46776548827501896,none_random,manual_ndvi_2
rf,producer_acc,1.0,0.6844262295081966,none_random,manual_ndvi_2
rf,producer_acc,2.0,0.17730496453900713,none_random,manual_ndvi_2
rf,producer_acc,3.0,0.7719298245614035,none_random,manual_ndvi_2
rf,producer_acc,4.0,0.5792349726775956,none_random,manual_ndvi_2
rf,producer_acc,6.0,0.3116883116883117,none_random,manual_ndvi_2
rf,producer_acc,7.0,0.0898876404494382,none_random,manual_ndvi_2
rf,producer_acc,11.0,0.7142857142857143,none_random,manual_ndvi_2
rf,producer_acc,12.0,0.76,none_random,manual_ndvi_2
rf,producer_acc,13.0,0.8888888888888888,none_random,manual_ndvi_2
rf,producer_acc,14.0,0.6041666666666667,none_random,manual_ndvi_2
rf,producer_acc,16.0,0.75,none_random,manual_ndvi_2
rf,producer_acc,17.0,0.6363636363636364,none_random,manual_ndvi_2
rf,producer_acc,20.0,0.9767441860465116,none_random,manual_ndvi_2
rf,user_acc,1.0,0.6761133603238867,none_random,manual_ndvi_2
rf,user_acc,2.0,0.390625,none_random,manual_ndvi_2
rf,user_acc,3.0,0.3410852713178295,none_random,manual_ndvi_2
rf,user_acc,4.0,0.6583850931677019,none_random,manual_ndvi_2
rf,user_acc,6.0,0.34285714285714286,none_random,manual_ndvi_2
rf,user_acc,7.0,0.4571428571428572,none_random,manual_ndvi_2
rf,user_acc,11.0,0.2142857142857143,none_random,manual_ndvi_2
rf,user_acc,12.0,0.3015873015873016,none_random,manual_ndvi_2
rf,user_acc,13.0,0.6666666666666667,none_random,manual_ndvi_2
rf,user_acc,14.0,0.4084507042253521,none_random,manual_ndvi_2
rf,user_acc,16.0,0.23076923076923073,none_random,manual_ndvi_2
rf,user_acc,17.0,0.16279069767441856,none_random,manual_ndvi_2
rf,user_acc,20.0,0.9197080291970803,none_random,manual_ndvi_2
svm,overall_accuracy,,0.5166666666666667,none_random,manual_ndvi_2
svm,balanced_accuracy,,0.6179671081121824,none_random,manual_ndvi_2
svm,kappa,,0.4582071516241969,none_random,manual_ndvi_2
svm,producer_acc,1.0,0.7172131147540983,none_random,manual_ndvi_2
svm,producer_acc,2.0,0.13475177304964536,none_random,manual_ndvi_2
svm,producer_acc,3.0,0.736842105263158,none_random,manual_ndvi_2
svm,producer_acc,4.0,0.5792349726775956,none_random,manual_ndvi_2
svm,producer_acc,6.0,0.3246753246753247,none_random,manual_ndvi_2
svm,producer_acc,7.0,0.0786516853932584,none_random,manual_ndvi_2
svm,producer_acc,11.0,0.6666666666666667,none_random,manual_ndvi_2
svm,producer_acc,12.0,0.8,none_random,manual_ndvi_2
svm,producer_acc,13.0,0.9444444444444444,none_random,manual_ndvi_2
svm,producer_acc,14.0,0.5,none_random,manual_ndvi_2
svm,producer_acc,16.0,1.0,none_random,manual_ndvi_2
svm,producer_acc,17.0,0.6363636363636364,none_random,manual_ndvi_2
svm,producer_acc,20.0,0.9147286821705426,none_random,manual_ndvi_2
svm,user_acc,1.0,0.6809338521400778,none_random,manual_ndvi_2
svm,user_acc,2.0,0.35185185185185186,none_random,manual_ndvi_2
svm,user_acc,3.0,0.3111111111111111,none_random,manual_ndvi_2
svm,user_acc,4.0,0.7210884353741497,none_random,manual_ndvi_2
svm,user_acc,6.0,0.352112676056338,none_random,manual_ndvi_2
svm,user_acc,7.0,0.4666666666666667,none_random,manual_ndvi_2
svm,user_acc,11.0,0.2028985507246377,none_random,manual_ndvi_2
svm,user_acc,12.0,0.33333333333333337,none_random,manual_ndvi_2
svm,user_acc,13.0,0.5862068965517242,none_random,manual_ndvi_2
svm,user_acc,14.0,0.2962962962962963,none_random,manual_ndvi_2
svm,user_acc,16.0,0.19999999999999996,none_random,manual_ndvi_2
svm,user_acc,17.0,0.17500000000000004,none_random,manual_ndvi_2
svm,user_acc,20.0,0.9291338582677166,none_random,manual_ndvi_2
rf,overall_accuracy,,0.5473684210526316,none_none,manual_ndvi_2
rf,balanced_accuracy,,0.6195076675737448,none_none,manual_ndvi_2
