ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,190.0,196.0,422.0,298.0,2667.0,1208.0,589.0,190.0,196.0,422.0,298.0,2667.0,1208.0,589.0,343.19140625,1171.0,105.0,21.52096176147461,1.0
4.0,4,2009.0,Digitized,,,p11_1,139.0,129.0,288.0,230.0,1780.0,795.0,433.0,101.0,118.0,386.0,290.0,2537.0,1122.0,549.0,101.0,118.0,386.0,290.0,2537.0,1122.0,549.0,349.82513427734375,1133.0,100.0,22.300302505493164,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,1012.5,1069.5,1213.5,1068.5,2760.0,1707.5,1051.0,1012.5,1069.5,1213.5,1068.5,2760.0,1707.5,1051.0,345.2576904296875,1082.0,114.0,19.186298370361328,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,176.0,176.0,402.0,305.0,2466.0,1148.0,620.0,176.0,176.0,402.0,305.0,2466.0,1148.0,620.0,352.8766784667969,1110.0,103.0,21.51319694519043,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,1428.0,1518.5,1665.5,1571.0,3201.5,2339.0,1495.0,1428.0,1518.5,1665.5,1571.0,3201.5,2339.0,1495.0,107.83338165283203,1069.0,108.0,19.945613861083984,1.0
4.0,4,2009.0,Digitized,,,p11_1,177.0,175.0,346.0,440.0,1807.0,1272.0,793.0,1369.6666,1420.6666,1639.3334,1488.3334,3909.6667,2773.3333,1824.3334,1369.6666,1420.6666,1639.3334,1488.3334,3909.6667,2773.3333,1824.3334,345.6030578613281,925.0,106.0,21.03957748413086,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,164.0,168.0,412.0,275.0,2880.0,1298.0,634.0,164.0,168.0,412.0,275.0,2880.0,1298.0,634.0,273.3905944824219,1184.0,115.0,18.19950294494629,1.0
4.0,4,2009.0,Digitized,,,p11_1,135.0,117.0,245.0,226.0,1866.0,728.0,375.0,122.0,117.0,220.0,188.5,1485.5,640.0,321.0,122.0,117.0,220.0,188.5,1485.5,640.0,321.0,349.89215087890625,1203.0,126.0,15.681973457336426,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,135.0,151.0,394.0,337.0,2422.0,1105.0,526.0,135.0,151.0,394.0,337.0,2422.0,1105.0,526.0,342.13653564453125,1116.0,97.0,23.70766830444336,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,160.0,168.0,416.0,313.0,2539.0,1119.0,602.0,160.0,168.0,416.0,313.0,2539.0,1119.0,602.0,342.8710021972656,1150.0,108.0,20.883474349975586,1.0
